apps/frappe/frappe/integration_broker/doctype/integration_service/integration_service.js +95,Please enter values for App Access Key and App Secret Key,የመተግበሪያ መዳረሻ ቁልፍ እና የመተግበሪያ ሚስጥር ቁልፍ እሴቶች ያስገቡ
DocType: Email Alert,"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","&quot;Before_insert&quot;, &quot;after_update&quot;, ወዘተ ያሉ የሚሰራ ዘዴዎች ላይ ቀስቅሴ (የተመረጠውን DocType ላይ የሚወሰን ነው)"
DocType: User,Stores the JSON of last known versions of various installed apps. It is used to show release notes.,መደብሮች የተለያዩ የተጫኑ መተግበሪያዎች የመጨረሻ የታወቀ ስሪቶች መካከል በ JSON. ይህ መግለጫ ለማሳየት ጥቅም ላይ ይውላል.
DocType: Web Form,Amount,መጠን
DocType: Dropbox Settings,Integrations,ውህደቶች
apps/frappe/frappe/integrations/doctype/paypal_settings/paypal_settings.py +126,Invalid payment gateway credentials,ልክ ያልሆነ የክፍያ ፍኖት ምስክርነቶች
DocType: Communication,Submitted,ገብቷል
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +24,"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","ወደ ሰነድ መዳረሻ ዋና ናቸው ማለትም ደረጃ 0 ላይ ፈቃዶች, ሰነድ ደረጃ ፍቃዶች ናቸው."
DocType: User,Background Image,የጀርባ ምስል
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +204,Set the display label for the field,በመስክ የማሳያ መለያ አዘጋጅ
DocType: DocPerm,Submit,አስገባ
DocType: Workflow State,Print,እትም
DocType: User,These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,እነዚህ እሴቶች በራስ-ሰር ግብይቶች ውስጥ መዘመን እና እንዲሁም እነዚህን እሴቶች የያዙ ግብይቶች ላይ ይህ ተጠቃሚ ፍቃዶችን ለመገደብ ጠቃሚ ይሆናል.
DocType: DocType,Show in Module Section,ሞዱል ክፍል ውስጥ አሳይ
apps/frappe/frappe/public/js/frappe/form/share.js +26,Shared with everyone,ለሁሉም ሰው ጋር ተጋርቷል
apps/frappe/frappe/core/doctype/doctype/doctype.py +489,Fieldname is required in row {0},Fieldname ረድፍ ውስጥ ያስፈልጋል {0}
