DocType: OAuth Client, Advanced Settings,
apps/frappe/frappe/public/js/frappe/form/workflow.js +32, by Role ,
apps/frappe/frappe/model/naming.py +95, for {0},
DocType: About Us Settings,"""Company History""","""Company History"""
apps/frappe/frappe/core/page/data_import_tool/exporter.py +69,"""Parent"" signifies the parent table in which this row must be added","""Parent"" signifies the parent table in which this row must be added"
DocType: About Us Settings,"""Team Members"" or ""Management""","""Team Members"" or ""Management"""
DocType: Website Settings,&lt;head&gt; HTML,&lt;head&gt; HTML
apps/frappe/frappe/custom/doctype/customize_form/customize_form.py +180,'In List View' not allowed for type {0} in row {1},'In List View' not allowed for type {0} in row {1}
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +94,(Ctrl + G),(Ctrl + G)
apps/frappe/frappe/model/rename_doc.py +357,** Failed: {0} to {1}: {2},** Failed: {0} to {1}: {2}
DocType: Currency,**Currency** Master,**Currency** Master
DocType: Workflow Document State,0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draft; 1 - Submitted; 2 - Cancelled
DocType: Web Page,0 is highest,0 is highest
DocType: Currency,"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent"
apps/frappe/frappe/website/doctype/blog_post/blog_post.py +83,1 comment,1 comment
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +48,1 hour ago,1 hour ago
apps/frappe/frappe/public/js/frappe/list/doclistview.js +806,1 item selected,1 item selected
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +46,1 minute ago,1 minute ago
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +18,1. Select Columns,1. Select Columns
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +57,1. Select File,1. Select File
apps/frappe/frappe/public/js/frappe/list/listview.js +382,2 days ago,2 days ago
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +30,2. Download,2. Download
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +61,2. Upload,2. Upload
